bin,predicted,actual,count,model,split
"(-0.001, 0.1]",0.027089341988300493,0.02658221392003978,313706,Logistic regression,validation
"(0.1, 0.2]",0.13504071402983073,0.1565239486723415,15742,Logistic regression,validation
"(0.2, 0.3]",0.2403831199983479,0.26485714285714285,3500,Logistic regression,validation
"(0.3, 0.4]",0.34504345291636895,0.35766423357664234,1370,Logistic regression,validation
"(0.4, 0.5]",0.4431168138750388,0.39628482972136225,646,Logistic regression,validation
"(0.5, 0.6]",0.5485533366575066,0.45785876993166286,439,Logistic regression,validation
"(0.6, 0.7]",0.6442956080037476,0.5494505494505495,182,Logistic regression,validation
"(0.7, 0.8]",0.7533238368231031,0.6434108527131783,129,Logistic regression,validation
"(0.8, 0.9]",0.8280481230978273,0.5869565217391305,46,Logistic regression,validation
"(0.9, 1.0]",0.9892062318027894,0.8421052631578947,19,Logistic regression,validation
"(-0.001, 0.1]",0.02810838133733288,0.02397125953758178,303405,Gradient boosting,validation
"(0.1, 0.2]",0.13604734170089938,0.11762448431353736,20846,Gradient boosting,validation
"(0.2, 0.3]",0.24350341736648012,0.18110095033171955,5577,Gradient boosting,validation
"(0.3, 0.4]",0.34450816969454034,0.2747172564757388,2741,Gradient boosting,validation
"(0.4, 0.5]",0.445292016679436,0.36706349206349204,1512,Gradient boosting,validation
"(0.5, 0.6]",0.5458669252096966,0.4383408071748879,892,Gradient boosting,validation
"(0.6, 0.7]",0.6452443633715035,0.5161904761904762,525,Gradient boosting,validation
"(0.7, 0.8]",0.7413423609201115,0.6638655462184874,238,Gradient boosting,validation
"(0.8, 0.9]",0.8177900277772495,0.9302325581395349,43,Gradient boosting,validation
"(-0.001, 0.1]",0.026900448166768266,0.027207284330129578,642475,Logistic regression,test
"(0.1, 0.2]",0.13419027501499298,0.1513005367294439,31487,Logistic regression,test
"(0.2, 0.3]",0.24069623230928858,0.2511223750905141,6905,Logistic regression,test
"(0.3, 0.4]",0.3438606418104292,0.3463378726536621,2717,Logistic regression,test
"(0.4, 0.5]",0.44373520202592054,0.4056473829201102,1452,Logistic regression,test
"(0.5, 0.6]",0.5455503555996554,0.43831640058055155,689,Logistic regression,test
"(0.6, 0.7]",0.6461869314050382,0.5548654244306418,483,Logistic regression,test
"(0.7, 0.8]",0.742886988707693,0.5982142857142857,224,Logistic regression,test
"(0.8, 0.9]",0.82255859538858,0.7684210526315789,95,Logistic regression,test
"(0.9, 1.0]",0.9855311497821562,0.7297297297297297,37,Logistic regression,test
"(-0.001, 0.1]",0.028661707320586653,0.024545495512894793,621336,Gradient boosting,test
"(0.1, 0.2]",0.1362526425986403,0.11393885523145657,42751,Gradient boosting,test
"(0.2, 0.3]",0.2429403470382813,0.19022719076812117,11092,Gradient boosting,test
"(0.3, 0.4]",0.3442012157859029,0.26567220543806647,5296,Gradient boosting,test
"(0.4, 0.5]",0.44590935087246014,0.34655898876404495,2848,Gradient boosting,test
"(0.5, 0.6]",0.5446039521374993,0.44108761329305135,1655,Gradient boosting,test
"(0.6, 0.7]",0.6462655454452819,0.5536261491317671,979,Gradient boosting,test
"(0.7, 0.8]",0.7380922790018791,0.6587301587301587,504,Gradient boosting,test
"(0.8, 0.9]",0.8254198563372267,0.7961165048543689,103,Gradient boosting,test
