campaign_id,campaign_type,start_date,end_date,assigned_households,redeeming_households,household_redemption_rate,fully_observed,observation_note
1,Type B,2017-03-03,2017-04-09,13,1,0.0769230769230769,True,Campaign fully inside source window
2,Type B,2017-03-08,2017-04-09,48,2,0.0416666666666666,True,Campaign fully inside source window
3,Type C,2017-03-13,2017-05-08,12,2,0.1666666666666666,True,Campaign fully inside source window
4,Type B,2017-03-29,2017-04-30,81,6,0.074074074074074,True,Campaign fully inside source window
5,Type B,2017-04-03,2017-05-07,166,8,0.0481927710843373,True,Campaign fully inside source window
6,Type C,2017-04-19,2017-05-21,65,1,0.0153846153846153,True,Campaign fully inside source window
7,Type B,2017-04-24,2017-05-28,198,5,0.0252525252525252,True,Campaign fully inside source window
8,Type A,2017-05-08,2017-06-25,1076,158,0.1468401486988847,True,Campaign fully inside source window
9,Type B,2017-05-31,2017-07-02,176,20,0.1136363636363636,True,Campaign fully inside source window
10,Type B,2017-06-28,2017-07-30,123,10,0.08130081300813,True,Campaign fully inside source window
11,Type B,2017-07-12,2017-08-27,214,6,0.02803738317757,True,Campaign fully inside source window
12,Type B,2017-07-12,2017-08-13,170,11,0.0647058823529411,True,Campaign fully inside source window
13,Type A,2017-08-08,2017-09-24,1077,196,0.1819870009285051,True,Campaign fully inside source window
14,Type C,2017-09-04,2017-11-08,224,18,0.0803571428571428,True,Campaign fully inside source window
15,Type C,2017-09-20,2018-02-28,17,2,0.1176470588235294,False,Boundary campaign: redemption window truncated
16,Type B,2017-10-04,2017-11-05,188,19,0.101063829787234,True,Campaign fully inside source window
17,Type B,2017-10-18,2017-11-19,202,18,0.0891089108910891,True,Campaign fully inside source window
18,Type A,2017-10-30,2017-12-24,1133,214,0.1888790820829655,True,Campaign fully inside source window
19,Type B,2017-11-15,2017-12-17,130,15,0.1153846153846153,True,Campaign fully inside source window
20,Type C,2017-11-27,2018-02-05,244,11,0.0450819672131147,False,Boundary campaign: redemption window truncated
21,Type B,2017-12-06,2018-01-07,65,2,0.0307692307692307,False,Boundary campaign: redemption window truncated
22,Type B,2017-12-06,2018-01-07,276,15,0.0543478260869565,False,Boundary campaign: redemption window truncated
23,Type B,2017-12-28,2018-02-04,183,3,0.0163934426229508,False,Boundary campaign: redemption window truncated
24,Type C,2016-11-14,2017-01-16,12,0,0.0,False,Boundary campaign: redemption window truncated
25,Type B,2016-12-06,2017-02-05,17,1,0.0588235294117647,False,Boundary campaign: redemption window truncated
26,Type B,2016-12-28,2017-02-19,118,12,0.1016949152542373,False,Boundary campaign: redemption window truncated
27,Type A,2017-02-08,2017-03-26,361,36,0.0997229916897507,True,Campaign fully inside source window
