campaign_id,campaign_type,households,average_pre_28d_sales,average_first_28d_sales,observed_change
1,Type B,13,200.63,213.3376923076923,12.707692307692305
10,Type B,123,319.68845528455284,312.74333333333334,-6.945121951219516
11,Type B,214,300.8352336448598,300.59593457943924,-0.23929906542056384
12,Type B,170,317.354,326.7974705882353,9.443470588235295
13,Type A,1077,233.25941504178274,227.94305478180132,-5.31636025998143
14,Type C,224,312.6870535714285,318.3778571428571,5.690803571428573
15,Type C,17,214.32764705882352,205.50058823529412,-8.827058823529406
16,Type B,188,323.7495744680851,327.2604255319149,3.5108510638297856
17,Type B,202,312.87896039603964,305.69846534653465,-7.180495049504952
18,Type A,1133,219.2992850838482,228.8613415710503,9.562056487202117
19,Type B,130,296.89846153846156,313.21515384615384,16.31669230769231
2,Type B,48,190.41645833333334,209.12125,18.704791666666665
20,Type C,244,330.29569672131146,369.6320491803279,39.336352459016396
27,Type A,361,213.1450969529086,210.86401662049863,-2.2810803324099713
3,Type C,12,355.35833333333335,330.19666666666666,-25.161666666666665
4,Type B,81,266.62283950617285,276.31074074074075,9.687901234567903
5,Type B,166,333.07656626506025,335.44710843373497,2.3705421686747
6,Type C,65,403.8326153846154,417.8198461538462,13.987230769230772
7,Type B,198,293.950202020202,306.15646464646466,12.206262626262626
8,Type A,1076,226.5482156133829,230.67021375464682,4.121998141263941
9,Type B,176,260.8546022727273,229.0602840909091,-31.794318181818184
