product_category,suggestions,hits,precision
FLUID MILK PRODUCTS,6319,1380,0.21838898559898717
SOFT DRINKS,4969,933,0.1877641376534514
BAKED BREAD/BUNS/ROLLS,3200,591,0.1846875
TROPICAL FRUIT,2787,755,0.2709006099748834
EGGS,1394,222,0.15925394548063126
BAG SNACKS,1331,170,0.1277235161532682
YOGURT,1322,219,0.16565809379727686
REFRGRATD JUICES/DRNKS,1209,228,0.18858560794044665
CHEESE,1058,117,0.11058601134215501
FRZN MEAT/MEAT DINNERS,1002,111,0.11077844311377245
DELI MEATS,821,177,0.21559074299634592
BEEF,803,92,0.11457036114570361
WATER - CARBONATED/FLVRD DRINK,777,140,0.18018018018018017
FROZEN PIZZA,754,90,0.11936339522546419
VEGETABLES - ALL OTHERS,692,109,0.157514450867052
SALAD BAR,625,120,0.192
CANNED JUICES,623,112,0.1797752808988764
TOMATOES,621,105,0.16908212560386474
CAT FOOD,514,134,0.2607003891050584
MILK BY-PRODUCTS,512,68,0.1328125
SOUP,479,77,0.16075156576200417
COLD CEREAL,478,79,0.16527196652719664
BEERS/ALES,478,83,0.17364016736401675
VEGETABLES - SHELF STABLE,468,53,0.11324786324786325
LUNCHMEAT,452,52,0.11504424778761062
ICE CREAM/MILK/SHERBTS,445,82,0.1842696629213483
BATH TISSUES,372,61,0.1639784946236559
APPLES,366,70,0.1912568306010929
PAPER TOWELS,365,65,0.1780821917808219
BAKED SWEET GOODS,363,59,0.162534435261708
MEAT - SHELF STABLE,357,32,0.0896358543417367
ONIONS,352,35,0.09943181818181818
BERRIES,347,46,0.13256484149855907
CHEESES,338,69,0.20414201183431951
CRACKERS/MISC BKD FD,334,50,0.1497005988023952
COFFEE,327,49,0.14984709480122324
VEGETABLES SALAD,323,38,0.11764705882352941
DOG FOODS,293,43,0.14675767918088736
REFRIGERATED,292,61,0.2089041095890411
CONVENIENT BRKFST/WHLSM SNACKS,290,34,0.11724137931034483
MARGARINES,285,44,0.1543859649122807
POTATOES,283,30,0.10600706713780919
SALAD MIX,282,31,0.1099290780141844
CHICKEN,270,34,0.1259259259259259
FRZN VEGETABLE/VEG DSH,267,17,0.06367041198501873
COOKIES/CONES,265,39,0.1471698113207547
PREPARED FOOD,264,42,0.1590909090909091
SUGARS/SWEETNERS,255,20,0.0784313725490196
PWDR/CRYSTL DRNK MX,250,14,0.056
PEPPERS-ALL,249,29,0.11646586345381527
BREAKFAST SWEETS,248,25,0.10080645161290322
HOT DOGS,231,24,0.1038961038961039
BROCCOLI/CAULIFLOWER,226,31,0.13716814159292035
CARROTS,224,30,0.13392857142857142
DINNER MXS:DRY,223,24,0.10762331838565023
GRAPES,214,16,0.07476635514018691
DRY BN/VEG/POTATO/RICE,207,15,0.07246376811594203
REFRGRATD DOUGH PRODUCTS,196,24,0.12244897959183673
FRUIT - SHELF STABLE,186,28,0.15053763440860216
BACON,178,18,0.10112359550561797
BREAKFAST SAUSAGE/SANDWICHES,176,27,0.1534090909090909
FRZN NOVELTIES/WTR ICE,175,17,0.09714285714285714
CHICKEN/POULTRY,172,9,0.05232558139534884
DOMESTIC WINE,165,37,0.22424242424242424
ISOTONIC DRINKS,159,7,0.0440251572327044
SALADS/DIPS,153,21,0.13725490196078433
HISPANIC,153,36,0.23529411764705882
PASTA SAUCE,153,19,0.12418300653594772
SEAFOOD - SHELF STABLE,147,24,0.16326530612244897
ROLLS,142,13,0.09154929577464789
SALD DRSNG/SNDWCH SPRD,137,2,0.014598540145985401
VALUE ADDED FRUIT,134,13,0.09701492537313433
CITRUS,132,18,0.13636363636363635
DINNER SAUSAGE,128,10,0.078125
BAKING MIXES,124,9,0.07258064516129033
MUSHROOMS,124,22,0.1774193548387097
FRZN BREAKFAST FOODS,120,9,0.075
BREAD,118,14,0.11864406779661017
BUTTER,108,17,0.1574074074074074
FROZEN PIE/DESSERTS,108,19,0.17592592592592593
MISC. DAIRY,106,14,0.1320754716981132
BEANS - CANNED GLASS & MW,102,13,0.12745098039215685
FACIAL TISS/DNR NAPKIN,99,9,0.09090909090909091
HEAT/SERVE,92,12,0.13043478260869565
CAT LITTER,92,7,0.07608695652173914
FRZN ICE,84,10,0.11904761904761904
PNT BTR/JELLY/JAMS,83,7,0.08433734939759036
CONDIMENTS/SAUCES,81,4,0.04938271604938271
DRY NOODLES/PASTA,80,11,0.1375
FROZEN MEAT,80,5,0.0625
PAPER HOUSEWARES,79,4,0.05063291139240506
MELONS,76,3,0.039473684210526314
HOT CEREAL,76,4,0.05263157894736842
WAREHOUSE SNACKS,74,7,0.0945945945945946
FRZN POTATOES,70,10,0.14285714285714285
FITNESS&DIET,68,10,0.14705882352941177
SNACK NUTS,63,10,0.15873015873015872
SHORTENING/OIL,61,3,0.04918032786885246
COCOA MIXES,60,8,0.13333333333333333
MEAT - MISC,56,7,0.125
TEAS,52,2,0.038461538461538464
FROZEN BREAD/DOUGH,52,3,0.057692307692307696
SEAFOOD - FROZEN,51,4,0.0784313725490196
BLEACH,51,4,0.0784313725490196
CANNED MILK,48,8,0.16666666666666666
FROZEN,47,5,0.10638297872340426
ORGANICS FRUIT & VEGETABLES,46,3,0.06521739130434782
STONE FRUIT,46,0,0.0
PORK,46,2,0.043478260869565216
CAKES,46,5,0.10869565217391304
LAUNDRY DETERGENTS,44,3,0.06818181818181818
SQUASH,44,5,0.11363636363636363
DRY SAUCES/GRAVY,43,2,0.046511627906976744
TURKEY,43,3,0.06976744186046512
SWEET GOODS & SNACKS,43,7,0.16279069767441862
LAUNDRY ADDITIVES,42,5,0.11904761904761904
DRIED FRUIT,39,3,0.07692307692307693
FRZN FRUITS,39,5,0.1282051282051282
DRY MIX DESSERTS,38,0,0.0
SEAFOOD-FRESH,37,1,0.02702702702702703
NEW AGE,36,8,0.2222222222222222
VALUE ADDED VEGETABLES,34,6,0.17647058823529413
BAKING NEEDS,33,0,0.0
HERBS,33,1,0.030303030303030304
CORN,32,2,0.0625
PROCESSED,31,1,0.03225806451612903
COOKIES,31,0,0.0
POPCORN,31,3,0.0967741935483871
NON-DAIRY BEVERAGES,30,3,0.1
FRZN JCE CONC/DRNKS,30,10,0.3333333333333333
CEREAL/BREAKFAST,29,2,0.06896551724137931
FD WRAPS/BAGS/TRSH BG,28,1,0.03571428571428571
SNKS/CKYS/CRKR/CNDY,28,3,0.10714285714285714
SPICES & EXTRACTS,28,4,0.14285714285714285
SANDWICHES,26,3,0.11538461538461539
PET CARE SUPPLIES,26,2,0.07692307692307693
SMOKED MEATS,25,2,0.08
PACKAGED NATURAL SNACKS,25,13,0.52
IMPORTED WINE,25,0,0.0
HOUSEHOLD CLEANG NEEDS,24,2,0.08333333333333333
WATER,23,1,0.043478260869565216
MISCELLANEOUS,21,3,0.14285714285714285
SNACKS,19,4,0.21052631578947367
FLOUR & MEALS,18,0,0.0
DISHWASH DETERGENTS,17,1,0.058823529411764705
OLIVES,17,1,0.058823529411764705
PICKLE/RELISH/PKLD VEG,16,2,0.125
MISC WINE,16,1,0.0625
BAKING,16,1,0.0625
LIQUOR,16,0,0.0
PEARS,16,5,0.3125
AIR CARE,14,0,0.0
JUICE,12,3,0.25
CONDIMENTS,11,0,0.0
RICE CAKES,10,0,0.0
LAMB,10,3,0.3
PIES,9,0,0.0
CHIPS&SNACKS,9,1,0.1111111111111111
MOLASSES/SYRUP/PANCAKE MIXS,8,0,0.0
FROZEN CHICKEN,8,1,0.125
BEVERAGE,7,2,0.2857142857142857
NUTS,7,0,0.0
SUSHI,6,1,0.16666666666666666
PARTY TRAYS,4,0,0.0
SERVICE BEVERAGE,2,0,0.0
PREPARED/PKGD FOODS,2,0,0.0
SYRUPS/TOPPINGS,2,0,0.0
DELI SUPPLIES,1,0,0.0
