product_category,lines,households,sales_value,retail_discount,manufacturer_discount,retailer_coupon_match
COUPON/MISC ITEMS,15997,1640,385971.75,12202.81,0.0,0.0
SOFT DRINKS,65164,2260,182124.21,60931.79,2270.08,32.28
BEEF,27461,2011,176614.54,39135.14,0.0,0.0
FLUID MILK PRODUCTS,48389,2256,116360.68,27903.98,225.66,88.6
CHEESE,42636,2174,107011.61,26644.58,276.79,106.34
FRZN MEAT/MEAT DINNERS,32353,1775,93023.74,26495.4,463.87,168.0
BAG SNACKS,38015,2148,84943.85,11760.71,331.0,52.1
BAKED BREAD/BUNS/ROLLS,47154,2246,82429.7,23205.06,263.86,94.86
BEERS/ALES,9923,1298,82039.45,70.9,0.0,0.0
FROZEN PIZZA,23945,1765,81175.04,16828.57,491.21,172.19
COLD CEREAL,21353,1865,63009.35,14380.85,496.15,54.4
DELI MEATS,14123,1426,60159.18,5137.01,3.6500000000000004,1.35
CIGARETTES,6786,768,54349.68,2.29,938.84,10.75
CHICKEN,10027,1609,52703.19,34375.62,2.0,0.0
LUNCHMEAT,19610,1837,51858.04,12867.91,99.3,39.7
PORK,7903,1408,50809.31,22066.76,3.65,1.15
SOUP,25763,1932,49027.16,6403.9,279.67,185.45
ICE CREAM/MILK/SHERBTS,16057,1852,46876.51,22649.84,241.97,16.15
CANDY - PACKAGED,19382,1868,43680.93,6841.32,117.6,20.25
CANNED JUICES,16245,1746,41924.840000000004,5412.56,120.11,24.3
REFRGRATD JUICES/DRNKS,17299,1824,40720.99,10862.37,108.11,25.9
MEAT - MISC,5460,1312,37679.73,11769.28,110.22,2.7
COFFEE,7782,1273,36874.53,4895.91,118.61,35.8
CRACKERS/MISC BKD FD,16807,1936,36341.37,8311.79,102.33,29.05
DOMESTIC WINE,3286,535,35927.7,39.85,0.0,0.0
WATER - CARBONATED/FLVRD DRINK,11724,1552,35338.11,5291.28,75.01,4.9
BATH TISSUES,8006,1540,34892.99,7447.72,441.9,66.25
SEAFOOD - FROZEN,5141,1223,34625.17,11999.87,114.38,8.15
YOGURT,25537,1491,34438.85,7762.65,399.58,106.0
DIAPERS & DISPOSABLES,2843,480,33937.79,2210.5,532.98,2.5
LAUNDRY DETERGENTS,5041,1318,32195.59,6556.4,340.01,87.9
VEGETABLES - SHELF STABLE,23126,1846,32029.56,8295.71,70.9,46.95
BAKED SWEET GOODS,15884,1599,31689.84,4918.86,36.43,21.82
CONVENIENT BRKFST/WHLSM SNACKS,12815,1434,31686.12,5479.52,269.23,89.95
DOG FOODS,7038,743,31126.11,5082.02,516.22,17.15
MEAT - SHELF STABLE,13020,1572,30118.08,2935.6,186.3,74.9
CHEESES,7964,1216,29970.010000000002,3108.35,83.7,10.5
COOKIES/CONES,12381,1708,29939.38,5887.39,134.99,41.65
FROZEN MEAT,5799,1220,29366.64,5848.74,136.74,31.650000000000002
HISPANIC,13632,1612,27234.55,2422.39,205.36,76.99
INFANT FORMULA,1534,306,26910.17,3883.8,77.55,0.45
SALD DRSNG/SNDWCH SPRD,12022,1862,26738.02,4711.42,141.48,61.0
POTATOES,9282,1673,26484.010000000002,1794.8500000000001,0.0,0.0
DINNER MXS:DRY,11075,1549,26382.14,5835.17,167.69,53.59
SALAD MIX,10074,1576,26086.3,5769.02,93.25,20.85
HAIR CARE PRODUCTS,6899,1222,25822.09,2349.57,250.19,21.84
FRZN VEGETABLE/VEG DSH,13185,1491,25717.13,6035.45,111.85,59.15
CONDIMENTS/SAUCES,13187,1903,25491.21,4394.46,236.83,89.57
BREAKFAST SAUSAGE/SANDWICHES,7115,1377,25355.49,7837.27,45.9,30.9
TOMATOES,9222,1577,25239.0,3467.67,1.47,0.0
BACON,6436,1354,25213.36,9565.21,35.25,8.9
FD WRAPS/BAGS/TRSH BG,8015,1591,25015.47,4165.8,196.1,72.55
DINNER SAUSAGE,6734,1398,24038.83,8072.85,158.84,47.35
REFRGRATD DOUGH PRODUCTS,10454,1560,23840.51,5117.34,473.49,275.7
TROPICAL FRUIT,19714,1877,23739.22,1426.29,0.0,0.0
MILK BY-PRODUCTS,13066,1773,23696.5,3809.89,74.43,58.35
FRUIT - SHELF STABLE,12333,1546,23535.81,5285.2699999999995,89.45,42.95
FRZN NOVELTIES/WTR ICE,8300,1423,23397.77,5811.41,86.23,18.6
CAKES,3031,1086,22439.46,1080.6,7.78,0.0
EGGS,15978,1979,22360.69,2277.14,26.85,7.85
APPLES,8195,1476,22297.33,2287.92,0.0,0.0
HOUSEHOLD CLEANG NEEDS,5735,1205,21740.7,1610.04,318.23,70.25
DRY BN/VEG/POTATO/RICE,12075,1612,21448.71,2359.07,106.54,76.95
ORAL HYGIENE PRODUCTS,5969,1308,21090.18,2568.25,362.16,46.95
BERRIES,6515,1269,20933.370000000003,6725.650000000001,0.0,0.0
FUEL,1164,271,19926.95,2.1,0.0,0.0
GRAPES,5987,1411,19420.57,4364.75,0.0,0.0
GREETING CARDS/WRAP/PARTY SPLY,6925,1312,19384.81,587.13,0.0,0.0
CAT FOOD,9489,608,19372.37,2569.26,258.93,26.7
HOT DOGS,6822,1465,19365.64,10552.83,47.730000000000004,22.7
PASTA SAUCE,8270,1504,19310.82,2715.89,109.45,77.9
VEGETABLES - ALL OTHERS,11508,1582,18901.11,1539.91,0.0,0.0
MAGAZINE,5426,927,18220.96,0.0,7.75,1.75
CHICKEN/POULTRY,3457,936,18152.96,2226.12,0.0,0.0
PNT BTR/JELLY/JAMS,7186,1559,17867.34,2267.87,146.57999999999998,73.7
SALAD BAR,5531,889,17824.29,675.34,0.0,0.0
BAKING MIXES,10003,1516,17506.41,4013.43,165.31,88.67
PAPER TOWELS,6183,1292,17504.89,2821.87,125.74,56.4
BAKING NEEDS,7964,1522,16815.91,2087.86,38.72,20.400000000000002
HEAT/SERVE,3642,903,16245.960000000001,2305.54,59.09,19.4
CANDY - CHECKLANE,20097,1837,16094.69,6081.33,84.18,2.79
SHORTENING/OIL,5001,1479,16015.5,2015.82,89.9,22.8
SPICES & EXTRACTS,7168,1590,15794.36,2698.38,34.6,17.6
SMOKED MEATS,2358,872,15324.22,2637.13,3.75,1.25
SUGARS/SWEETNERS,6188,1496,15302.86,1288.05,16.15,13.75
REFRIGERATED,4448,544,14936.470000000001,1390.96,10.09,0.7
ANALGESICS,2743,985,14899.53,2627.12,6.9399999999999995,0.45
ISOTONIC DRINKS,6533,870,14755.7,2716.6,17.85,2.75
FRZN BREAKFAST FOODS,6138,1076,14645.18,2416.55,193.82,84.55
COLD AND FLU,3455,1087,14621.25,1346.45,18.05,3.3499999999999996
PAPER HOUSEWARES,6111,1277,14573.92,2078.94,51.54,23.15
SALADS/DIPS,4421,1094,14404.550000000001,1485.4,12.58,4.5
CITRUS,6765,1354,14357.84,1200.91,0.0,0.0
SEAFOOD - SHELF STABLE,5041,1227,13908.9,2245.23,48.85,15.15
MAKEUP AND TREATMENT,3433,797,13731.94,4148.09,120.03999999999999,2.15
SEAFOOD-FRESH,2321,658,13686.79,2471.91,0.0,0.0
LIQUOR,1545,502,13653.94,58.63,0.0,0.0
BABY FOODS,11209,409,13621.32,545.21,182.18,45.0
SHAVING CARE PRODUCTS,2342,775,13490.11,1067.84,366.84000000000003,5.5
DRY NOODLES/PASTA,9677,1670,13167.91,2617.69,60.3,17.3
MARGARINES,8084,1628,13138.53,1750.22,108.6,80.3
ONIONS,9483,1635,12830.98,531.71,0.0,0.0
MISC. DAIRY,4938,1173,12756.2,1978.37,51.14,14.55
