household_id,shopping_days,receipts,sales_value,average_day_value,first_date,last_date
1,46,50,2415.56,52.512173913043476,2017-01-07,2017-12-31
10,1,1,29.96,29.96,2017-08-01,2017-08-01
100,18,21,1336.8700000000001,74.27055555555556,2017-02-15,2017-11-29
1000,79,85,2509.38,31.764303797468354,2017-01-04,2017-12-31
1001,41,46,2558.82,62.41024390243903,2017-02-09,2017-12-28
1002,15,16,538.5,35.9,2017-03-16,2017-12-30
1003,23,32,1404.43,61.06217391304348,2017-01-27,2017-12-02
1004,139,168,2486.93,17.89158273381295,2017-01-01,2017-12-30
1005,126,133,1755.96,13.936190476190477,2017-01-01,2017-12-21
1006,5,6,65.96,13.191999999999998,2017-03-30,2017-12-15
1007,65,69,557.36,8.574769230769231,2017-01-02,2017-12-19
1008,22,27,375.68,17.076363636363638,2017-02-05,2017-12-18
1009,16,16,92.14,5.75875,2017-01-07,2017-10-29
101,97,144,4483.35,46.22010309278351,2017-01-05,2017-12-31
1010,46,62,1733.55,37.68586956521739,2017-01-10,2017-12-28
1011,81,85,1908.99,23.567777777777778,2017-01-02,2017-12-24
1012,48,60,935.72,19.49416666666667,2017-01-03,2017-11-21
1013,9,11,175.32,19.48,2017-02-26,2017-11-01
1014,81,97,2687.67,33.181111111111115,2017-01-05,2017-12-30
1015,47,47,1974.57,42.01212765957447,2017-01-06,2017-12-22
1016,23,27,1983.4,86.23478260869565,2017-01-02,2017-12-14
1017,38,40,2428.75,63.91447368421053,2017-01-04,2017-12-31
1018,54,56,974.3,18.04259259259259,2017-01-03,2017-12-26
1019,18,24,690.4,38.355555555555554,2017-01-04,2017-12-28
1020,89,96,5292.25,59.46348314606742,2017-01-16,2017-12-31
1021,48,55,853.03,17.77145833333333,2017-01-04,2017-12-29
1022,9,9,64.74,7.1933333333333325,2017-02-04,2017-10-24
1023,224,375,24879.75,111.0703125,2017-01-01,2017-12-23
1024,71,87,5309.92,74.78760563380281,2017-01-04,2017-12-21
1025,41,58,2605.39,63.5460975609756,2017-01-03,2017-12-14
1026,6,7,263.08,43.846666666666664,2017-02-09,2017-05-27
1027,19,22,536.71,28.247894736842106,2017-02-03,2017-11-21
1028,4,4,42.34,10.585,2017-01-02,2017-10-01
1029,144,163,8263.03,57.38215277777778,2017-01-01,2017-12-31
103,14,14,197.29,14.092142857142857,2017-01-01,2017-12-16
1030,15,15,550.71,36.714000000000006,2017-01-08,2017-12-23
1031,74,87,2441.13,32.98824324324325,2017-04-09,2017-09-30
1032,53,59,1741.0,32.84905660377358,2017-01-04,2017-12-18
1033,12,12,640.02,53.335,2017-04-13,2017-12-22
1034,23,25,236.57,10.285652173913043,2017-01-03,2017-12-26
1035,1,2,37.32,37.32,2017-05-03,2017-05-03
1036,11,11,320.12,29.10181818181818,2017-01-23,2017-12-26
1037,17,18,576.93,33.93705882352941,2017-01-05,2017-12-20
1038,120,152,840.84,7.007000000000001,2017-01-01,2017-11-10
1039,46,50,2823.16,61.37304347826087,2017-01-07,2017-12-30
104,75,83,4303.22,57.37626666666667,2017-01-04,2017-12-31
1040,120,123,3163.89,26.36575,2017-01-03,2017-12-21
1041,127,201,4630.0,36.45669291338583,2017-01-09,2017-12-31
1042,125,148,2980.28,23.84224,2017-01-02,2017-12-28
1043,6,9,456.51,76.085,2017-01-30,2017-09-16
1044,8,9,188.59,23.57375,2017-01-03,2017-12-09
1045,117,154,2415.57,20.64589743589744,2017-01-03,2017-12-31
1046,95,104,2389.9,25.15684210526316,2017-01-07,2017-12-30
1047,38,45,551.9,14.523684210526316,2017-01-01,2017-12-31
1048,54,58,1320.13,24.446851851851854,2017-05-04,2017-12-30
1049,28,33,462.46,16.51642857142857,2017-01-22,2017-12-14
105,66,87,2150.97,32.59045454545454,2017-01-03,2017-12-28
1050,69,89,3293.33,47.72942028985507,2017-01-01,2017-12-29
1051,20,21,694.24,34.712,2017-01-22,2017-12-03
1053,59,59,3202.38,54.27762711864407,2017-01-03,2017-12-28
1054,22,23,531.11,24.141363636363636,2017-01-09,2017-12-30
1055,37,39,501.23,13.546756756756757,2017-01-03,2017-12-23
1056,30,39,2679.03,89.301,2017-01-04,2017-12-28
1057,107,110,4461.78,41.6988785046729,2017-01-01,2017-12-29
1058,204,318,2195.57,10.762598039215687,2017-01-01,2017-12-28
1059,2,2,32.39,16.195,2017-03-13,2017-09-28
106,29,34,886.29,30.561724137931034,2017-04-05,2017-12-31
1060,30,31,3070.98,102.366,2017-01-06,2017-12-23
1061,61,83,4246.43,69.61360655737705,2017-02-25,2017-12-31
1062,112,121,647.32,5.779642857142858,2017-01-03,2017-12-31
1063,14,14,267.63,19.11642857142857,2017-01-04,2017-12-03
1064,28,29,1974.24,70.50857142857143,2017-01-07,2017-12-22
1065,29,29,2882.79,99.40655172413793,2017-01-07,2017-12-11
1066,129,146,1881.31,14.583798449612402,2017-01-02,2017-12-29
1067,32,33,2214.11,69.1909375,2017-01-07,2017-12-21
1068,10,25,420.54,42.054,2017-01-01,2017-12-27
1069,39,41,2220.25,56.92948717948718,2017-01-03,2017-12-31
107,6,8,190.77,31.795,2017-01-07,2017-11-23
1070,67,85,2542.37,37.94582089552239,2017-01-05,2017-12-26
1071,39,43,1087.23,27.877692307692307,2017-01-13,2017-12-29
1072,34,42,1691.09,49.737941176470585,2017-01-04,2017-12-30
1073,74,81,1920.79,25.956621621621622,2017-01-02,2017-12-31
1074,74,81,5209.22,70.39486486486487,2017-01-04,2017-12-23
1075,31,36,678.03,21.871935483870967,2017-01-07,2017-12-30
1076,39,40,890.65,22.837179487179487,2017-01-08,2017-12-31
1077,26,26,1085.81,41.761923076923075,2017-06-14,2017-12-27
1078,113,125,3643.86,32.24654867256637,2017-01-04,2017-12-14
1079,15,16,280.42,18.694666666666667,2017-01-09,2017-09-18
108,29,34,1613.18,55.62689655172414,2017-01-02,2017-12-27
1080,26,38,837.2,32.2,2017-01-10,2017-12-31
1081,67,73,5716.36,85.31880597014924,2017-01-01,2017-12-30
1082,73,81,1248.57,17.103698630136986,2017-01-06,2017-12-29
1083,31,35,940.27,30.331290322580646,2017-01-12,2017-12-30
1084,87,119,1429.58,16.431954022988506,2017-01-02,2017-12-31
1085,59,67,3280.58,55.603050847457624,2017-01-01,2017-12-26
1086,15,16,598.57,39.90466666666667,2017-01-20,2017-12-30
1087,66,83,1697.21,25.71530303030303,2017-01-02,2017-12-12
1088,49,50,758.14,15.472244897959184,2017-01-02,2017-12-31
1089,31,33,440.43,14.20741935483871,2017-01-06,2017-12-30
109,72,74,2125.22,29.51694444444444,2017-01-09,2017-12-13
