household_id,date,split,eligible,candidates,basket_items,candidate_actual_items
1,2017-04-26,train,1,120,34,16
1,2017-05-18,train,1,120,1,0
1,2017-06-17,train,1,120,24,17
1,2017-07-16,train,1,120,10,9
1,2017-08-04,train,1,120,1,1
1,2017-08-20,train,1,120,16,8
1,2017-09-13,train,1,120,30,17
1,2017-10-11,validation,1,120,38,20
1,2017-10-24,validation,1,120,9,6
1,2017-10-31,validation,1,120,27,13
1,2017-11-09,test,1,120,51,27
1,2017-11-18,test,1,120,1,0
1,2017-11-20,test,1,120,4,1
1,2017-11-22,test,1,120,12,7
1,2017-12-02,test,1,120,29,14
1,2017-12-04,test,1,120,2,1
1,2017-12-14,test,1,120,20,10
1,2017-12-21,test,1,120,33,12
1,2017-12-29,test,1,120,11,6
1000,2017-04-04,train,1,120,24,21
1000,2017-04-19,train,1,120,14,8
1000,2017-05-08,train,1,120,16,11
1000,2017-05-17,train,1,120,3,2
1000,2017-05-26,train,1,120,20,13
1000,2017-06-07,train,1,120,14,11
1000,2017-06-25,train,1,120,15,9
1000,2017-07-07,train,1,120,12,9
1000,2017-07-18,train,1,120,17,11
1000,2017-07-31,train,1,120,29,19
1000,2017-08-15,train,1,120,14,8
1000,2017-08-29,train,1,120,27,18
1000,2017-09-20,train,1,120,30,18
1000,2017-10-01,validation,1,120,6,5
1000,2017-10-11,validation,1,120,15,8
1000,2017-10-13,validation,1,120,11,9
1000,2017-10-18,validation,1,120,14,11
1000,2017-10-23,validation,1,120,11,7
1000,2017-10-28,validation,1,120,20,11
1000,2017-11-01,test,1,120,15,13
1000,2017-11-05,test,1,120,16,12
1000,2017-11-13,test,1,120,20,17
1000,2017-11-17,test,1,120,16,14
1000,2017-11-27,test,1,120,15,11
1000,2017-12-02,test,1,120,22,12
1000,2017-12-06,test,1,120,14,9
1000,2017-12-09,test,1,120,14,10
1000,2017-12-14,test,1,120,13,8
1000,2017-12-19,test,1,120,15,12
1000,2017-12-21,test,1,120,5,5
1000,2017-12-26,test,1,120,11,10
1000,2017-12-31,test,1,120,15,12
1001,2017-04-25,train,0,75,7,1
1001,2017-05-17,train,1,98,18,4
1001,2017-05-31,train,1,120,2,0
1001,2017-06-22,train,1,120,20,9
1001,2017-08-30,train,1,120,11,7
1001,2017-09-13,train,1,120,6,5
1001,2017-09-27,train,1,120,15,9
1001,2017-10-05,validation,1,120,25,7
1001,2017-10-11,validation,1,120,5,3
1001,2017-10-17,validation,1,120,8,7
1001,2017-10-18,validation,1,120,2,0
1001,2017-10-23,validation,1,120,16,10
1001,2017-10-26,validation,1,120,8,6
1001,2017-11-02,test,1,120,12,4
1001,2017-11-04,test,1,120,3,0
1001,2017-11-07,test,1,120,6,3
1001,2017-11-08,test,1,120,15,3
1001,2017-11-15,test,1,120,20,12
1001,2017-11-21,test,1,120,13,2
1001,2017-11-28,test,1,120,11,7
1001,2017-11-29,test,1,120,10,3
