feature,validation_precision_drop
purchase_rate,0.044999999999999984
due_ratio,0.011499999999999982
purchase_count,0.00849999999999998
trips_since_product,0.005499999999999977
days_since_trip,0.004500000000000004
days_since_last,0.003500000000000003
recent_30_count,0.0027500000000000024
prior_trips,0.0025000000000000022
mean_quantity,0.0012500000000000011
last_unit_value,0.0012500000000000011
median_interval,0.0010000000000000009
history_days,0.0007500000000000007
last_quantity,0.0002500000000000002
mean_interval,0.0
interval_known,0.0
recent_90_count,-0.002250000000000002
interval_cv,-0.0027500000000000024
