eligible_trips,recommendations_per_eligible_day,adoption,acceptance,incremental_share,item_price,margin_rate,monthly_cost,coupon_per_accepted_item,impressions,accepted_items,incremental_items,incremental_revenue,coupon_cost,net_monthly_contribution,break_even_incremental_share,capacity_policy,experience
100000,8.0,0.1,0.05,0.05,3.0,0.15,5000.0,0.0,80000.0,4000.0,200.0,600.0,0.0,-4910.0,2.7777777777777777,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.05,3.0,0.15,5000.0,0.5,80000.0,4000.0,200.0,600.0,2000.0,-6910.0,3.888888888888889,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.05,3.0,0.25,5000.0,0.0,80000.0,4000.0,200.0,600.0,0.0,-4850.0,1.6666666666666667,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.05,3.0,0.25,5000.0,0.5,80000.0,4000.0,200.0,600.0,2000.0,-6850.0,2.3333333333333335,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.05,3.0,0.35,5000.0,0.0,80000.0,4000.0,200.0,600.0,0.0,-4790.0,1.1904761904761905,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.05,3.0,0.35,5000.0,0.5,80000.0,4000.0,200.0,600.0,2000.0,-6790.0,1.6666666666666667,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.1,3.0,0.15,5000.0,0.0,80000.0,4000.0,400.0,1200.0,0.0,-4820.0,2.7777777777777777,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.1,3.0,0.15,5000.0,0.5,80000.0,4000.0,400.0,1200.0,2000.0,-6820.0,3.888888888888889,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.1,3.0,0.25,5000.0,0.0,80000.0,4000.0,400.0,1200.0,0.0,-4700.0,1.6666666666666667,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.1,3.0,0.25,5000.0,0.5,80000.0,4000.0,400.0,1200.0,2000.0,-6700.0,2.3333333333333335,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.1,3.0,0.35,5000.0,0.0,80000.0,4000.0,400.0,1200.0,0.0,-4580.0,1.1904761904761905,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.1,3.0,0.35,5000.0,0.5,80000.0,4000.0,400.0,1200.0,2000.0,-6580.0,1.6666666666666667,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.2,3.0,0.15,5000.0,0.0,80000.0,4000.0,800.0,2400.0,0.0,-4640.0,2.7777777777777777,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.2,3.0,0.15,5000.0,0.5,80000.0,4000.0,800.0,2400.0,2000.0,-6640.0,3.888888888888889,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.2,3.0,0.25,5000.0,0.0,80000.0,4000.0,800.0,2400.0,0.0,-4400.0,1.6666666666666667,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.2,3.0,0.25,5000.0,0.5,80000.0,4000.0,800.0,2400.0,2000.0,-6400.0,2.3333333333333335,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.2,3.0,0.35,5000.0,0.0,80000.0,4000.0,800.0,2400.0,0.0,-4160.0,1.1904761904761905,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.2,3.0,0.35,5000.0,0.5,80000.0,4000.0,800.0,2400.0,2000.0,-6160.0,1.6666666666666667,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.4,3.0,0.15,5000.0,0.0,80000.0,4000.0,1600.0,4800.0,0.0,-4280.0,2.7777777777777777,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.4,3.0,0.15,5000.0,0.5,80000.0,4000.0,1600.0,4800.0,2000.0,-6280.0,3.888888888888889,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.4,3.0,0.25,5000.0,0.0,80000.0,4000.0,1600.0,4800.0,0.0,-3800.0,1.6666666666666667,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.4,3.0,0.25,5000.0,0.5,80000.0,4000.0,1600.0,4800.0,2000.0,-5800.0,2.3333333333333335,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.05,0.4,3.0,0.35,5000.0,0.0,80000.0,4000.0,1600.0,4800.0,0.0,-3320.0,1.1904761904761905,Fixed eight,Reminders only
100000,8.0,0.1,0.05,0.4,3.0,0.35,5000.0,0.5,80000.0,4000.0,1600.0,4800.0,2000.0,-5320.0,1.6666666666666667,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.1,0.05,3.0,0.15,5000.0,0.0,80000.0,8000.0,400.0,1200.0,0.0,-4820.0,1.3888888888888888,Fixed eight,Reminders only
100000,8.0,0.1,0.1,0.05,3.0,0.15,5000.0,0.5,80000.0,8000.0,400.0,1200.0,4000.0,-8820.0,2.5,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.1,0.05,3.0,0.25,5000.0,0.0,80000.0,8000.0,400.0,1200.0,0.0,-4700.0,0.8333333333333334,Fixed eight,Reminders only
100000,8.0,0.1,0.1,0.05,3.0,0.25,5000.0,0.5,80000.0,8000.0,400.0,1200.0,4000.0,-8700.0,1.5,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.1,0.05,3.0,0.35,5000.0,0.0,80000.0,8000.0,400.0,1200.0,0.0,-4580.0,0.5952380952380952,Fixed eight,Reminders only
100000,8.0,0.1,0.1,0.05,3.0,0.35,5000.0,0.5,80000.0,8000.0,400.0,1200.0,4000.0,-8580.0,1.0714285714285714,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.1,0.1,3.0,0.15,5000.0,0.0,80000.0,8000.0,800.0,2400.0,0.0,-4640.0,1.3888888888888888,Fixed eight,Reminders only
100000,8.0,0.1,0.1,0.1,3.0,0.15,5000.0,0.5,80000.0,8000.0,800.0,2400.0,4000.0,-8640.0,2.5,Fixed eight,Reminders plus $0.50 coupon
100000,8.0,0.1,0.1,0.1,3.0,0.25,5000.0,0.0,80000.0,8000.0,800.0,2400.0,0.0,-4400.0,0.8333333333333334,Fixed eight,Reminders only
100000,8.0,0.1,0.1,0.1,3.0,0.25,5000.0,0.5,80000.0,8000.0,800.0,2400.0,4000.0,-8400.0,1.5,Fixed eight,Reminders plus $0.50 coupon
