split,model,shopping_days,households,precision_at_8,recall_full_basket,recall_candidates,ndcg_at_8,mean_hits
validation,Frequent purchases,3077,646,0.1525430614234644,0.1416719402246492,0.34169366358486897,0.2672843350373695,1.2203444913877153
validation,Recent purchases,3077,646,0.11009099772505687,0.10712370473765787,0.24642933534283812,0.19004107729689587,0.880727981800455
validation,Replenishment rule,3077,646,0.11520961975950601,0.10906141602238313,0.255433939034603,0.19649285724816706,0.9216769580760481
validation,Logistic regression,3077,646,0.1643646408839779,0.1558113981075638,0.3686753279589549,0.2873964309585585,1.3149171270718232
validation,Gradient boosting,3077,646,0.16798017549561262,0.1575328440588001,0.37435936863633296,0.2927055127325657,1.343841403964901
test,Frequent purchases,6233,708,0.15175276752767528,0.14323426354494426,0.34154860693600597,0.26843500861475034,1.2140221402214022
test,Recent purchases,6233,708,0.10881597946414247,0.10407391914238702,0.23970341804155262,0.1895268454694657,0.8705278357131397
test,Replenishment rule,6233,708,0.11531365313653137,0.10687712179438702,0.25487858539354985,0.1982938003726284,0.922509225092251
test,Logistic regression,6233,708,0.16248195090646558,0.15213988424890526,0.35954386368067875,0.28660998989728564,1.2998556072517247
test,Gradient boosting,6233,708,0.16470800577570993,0.1533712003737655,0.3632718310361907,0.2894061191325641,1.3176640462056795
