month,shopping_days,sales_value,average_day_value
2017-01,10474,373299.71,35.640606263127744
2017-02,9659,350055.08,36.2413376125893
2017-03,10559,379997.82,35.9880500047353
2017-04,10327,373254.43,36.14354894935606
2017-05,11203,401625.77,35.849841113987324
2017-06,10447,373169.9,35.720292907054656
2017-07,11100,397087.05,35.77360810810811
2017-08,10922,384425.55,35.197358542391505
2017-09,10426,367557.83,35.253964128141185
2017-10,10881,387807.05,35.640754526238396
2017-11,10564,386027.19,36.54176353653919
2017-12,10785,421719.68,39.102427445526196
